code,nom,description,version,organisme,statut,secteur
ISO 4481:1977,01.040.97 - Domestic and commercial equipment. Entertainment. Sports (Vocabularies),,1977,ISO,actif,Services & Management
ISO 31-0:1981,01.060 - Quantities and units,,1981,ISO,actif,Services & Management
ISO 32:1977,01.070 - Colour coding,,1977,ISO,actif,Services & Management
ISO 7463:1990,01.075 - Character symbols,,1990,ISO,actif,Services & Management
ISO/IEC Guide 74:2004,01.080.01 - Graphical symbols in general,,2004,ISO/IEC,actif,Services & Management
ISO Guide 11:1978,01.080.10 - Public information symbols. Signs. Plates. Labels,,1978,ISO,actif,Services & Management
ISO 361:1975,01.080.20 - Graphical symbols for use on specific equipment,,1975,ISO,actif,Services & Management
ISO/R 538:1967,"01.080.30 - Graphical symbols for use on mechanical engineering and construction drawings, diagrams, plans, maps and in relevant technical product documentation",,1967,ISO,actif,Services & Management
ISO 11145:2001,"01.080.40 - Graphical symbols for use on electrical and electronics engineering drawings, diagrams, charts and in relevant technical product documentation",,2001,ISO,actif,Services & Management
ISO 1028:1973,01.080.50 - Graphical symbols for use on information technology and telecommunications technical drawings and in relevant technical product documentation,,1973,ISO,actif,Services & Management
ISO 780:1984,01.080.99 - Other graphical symbols,,1984,ISO,actif,Services & Management
ISO 128:1982,01.100.01 - Technical drawings in general,,1982,ISO,actif,Services & Management
ISO 128-15:2013,01.100.20 - Mechanical engineering drawings,,2013,ISO,actif,Services & Management
ISO 128-23:1999,01.100.30 - Construction drawings,,1999,ISO,actif,Services & Management
ISO 9175-1:1988,01.100.40 - Drawing equipment,,1988,ISO,actif,Services & Management
ISO 6412-1:1989,01.100.99 - Other standards related to technical drawings,,1989,ISO,actif,Services & Management
ISO 6433:2012,01.110 - Technical product documentation,,2012,ISO,actif,Services & Management
ISO Guide 1:1972,01.120 - Standardization. General rules,,1972,ISO,actif,Services & Management
ISO/R 77:1958,01.140 - Information sciences. Publishing,,1958,ISO,actif,Services & Management
ISO 19731:2017,03.020 - Sociology. Demography,,2017,ISO,actif,Services & Management
ISO 4217:1987,03.060 - Finances. Banking. Monetary systems. Insurance,,1987,ISO,actif,Services & Management
ISO 41001:2018,03.080.10 - Maintenance services. Facilities management,,2018,ISO,actif,Services & Management
ISO/TS 10674:2011,03.080.20 - Services for companies,,2011,ISO,actif,Services & Management
ISO Guide 4:1975,03.080.30 - Services for consumers,,1975,ISO,actif,Services & Management
ISO 18587:2017,03.080.99 - Other services,,2017,ISO,actif,Services & Management
IWA 9:2011,03.100.01 - Company organization and management in general,,2011,ISO,actif,Services & Management
IWA 26:2017,03.100.02 - Governance and ethics,,2017,ISO,actif,Services & Management
ISO 20400:2017,03.100.10 - Purchasing. Procurement. Logistics,,2017,ISO,actif,Services & Management
ISO 5496:1992,03.100.30 - Management of human resources,,1992,ISO,actif,Services & Management
ISO 21500:2012,03.100.40 - Research and development,,2012,ISO,actif,Services & Management
IWA 12:2013,03.100.70 - Management systems,,2013,ISO,actif,Services & Management
IWA 1:2001,03.120.10 - Quality management and quality assurance,,2001,ISO,actif,Services & Management
ISO/IEC Guide 7:1982,03.120.20 - Product and company certification. Conformity assessment,,1982,ISO/IEC,actif,Services & Management
ISO/R 645:1967,03.120.30 - Application of statistical methods,,1967,ISO,actif,Services & Management
ISO 10668:2010,03.140 - Patents. Intellectual property,,2010,ISO,actif,Services & Management
ISO/DTS 17582,03.160 - Law. Administration,,,ISO,en cours,Services & Management
ISO/IEC TR 20748-1:2016,03.180 - Education,,2016,ISO/IEC,actif,Services & Management
ISO 13009:2015,03.200.01 - Leisure and tourism in general,,2015,ISO,actif,Services & Management
ISO/PRF 20611,03.200.10 - Adventure tourism,,,ISO,actif,Services & Management
ISO 11107:2009,03.200.99 - Other standards relating to leisure and tourism,,2009,ISO,actif,Services & Management
ISO 10711:2012,03.220.01 - Transport in general,,2012,ISO,actif,Services & Management
ISO 11067:2015,03.220.20 - Road transport,,2015,ISO,actif,Services & Management
ISO/CD 22888,03.220.30 - Transport by rail,,,ISO,en cours,Services & Management
ISO 13398:1997,03.220.40 - Transport by water,,1997,ISO,actif,Services & Management
ISO 11180:1993,03.240 - Postal services,,1993,ISO,actif,Services & Management
ISO/FDIS 20298-1,07.030 - Physics. Chemistry,,,ISO,en cours,Métrologie & Sciences
ISO/TR 14618:1996,07.040 - Astronomy. Geodesy. Geography,,1996,ISO,actif,Métrologie & Sciences
ISO 710-1:1974,07.060 - Geology. Meteorology. Hydrology,,1974,ISO,actif,Métrologie & Sciences
ISO 18457:2016,07.080 - Biology. Botany. Zoology,,2016,ISO,actif,Métrologie & Sciences
ISO 6579:1990,07.100 - Microbiology,,1990,ISO,actif,Métrologie & Sciences
ISO 2293:1976,07.100.30 - Food microbiology,,1976,ISO,actif,Métrologie & Sciences
ISO 11930:2012,07.100.40 - Cosmetics microbiology,,2012,ISO,actif,Métrologie & Sciences
ISO/TS 10797:2012,07.120 - Nanotechnologies,,2012,ISO,actif,Métrologie & Sciences
ISO 18385:2016,07.140 - Forensic science,,2016,ISO,actif,Métrologie & Sciences
IWA 18:2016,11.020.10 - Health care services in general,,2016,ISO,actif,Santé & Médecine
ISO/IEC DGuide 63,11.040.01 - Medical equipment in general,,,ISO/IEC,actif,Santé & Médecine
ISO/R 595:1967,"11.040.20 - Transfusion, infusion and injection equipment",,1967,ISO,actif,Santé & Médecine
ISO/R 594:1967,"11.040.25 - Syringes, needles and catheters",,1967,ISO,actif,Santé & Médecine
ISO 7151:1983,11.040.30 - Surgical instruments and materials,,1983,ISO,actif,Santé & Médecine
ISO 5832-1:1980,"11.040.40 - Implants for surgery, prosthetics and orthotics",,1980,ISO,actif,Santé & Médecine
ISO 3665:1976,11.040.50 - Radiographic equipment,,1976,ISO,actif,Santé & Médecine
ISO 7376:2003,11.040.55 - Diagnostic equipment,,2003,ISO,actif,Santé & Médecine
ISO/DIS 21291,11.040.60 - Therapy equipment,,,ISO,en cours,Santé & Médecine
ISO 7998:1984,11.040.70 - Ophthalmic equipment,,1984,ISO,actif,Santé & Médecine
ISO 11990:1999,11.040.99 - Other medical equipment,,1999,ISO,actif,Santé & Médecine
ISO 1559:1978,11.060.10 - Dental materials,,1978,ISO,actif,Santé & Médecine
ISO 10451:2002,11.060.15 - Dental implants,,2002,ISO,actif,Santé & Médecine
ISO 1797:1976,11.060.20 - Dental equipment,,1976,ISO,actif,Santé & Médecine
ISO 6360-1:2004,11.060.25 - Dental instruments,,2004,ISO,actif,Santé & Médecine
ISO 11134:1994,11.080.01 - Sterilization and disinfection in general,,1994,ISO,actif,Santé & Médecine
ISO 15883-1:2006,11.080.10 - Sterilizing equipment,,2006,ISO,actif,Santé & Médecine
ISO 11607:1997,11.080.30 - Sterilized packaging,,1997,ISO,actif,Santé & Médecine
ISO/TR 7405:1984,11.100 - Laboratory medicine,,1984,ISO,actif,Santé & Médecine
ISO 13079:2011,11.100.10 - In vitro diagnostic test systems,,2011,ISO,actif,Santé & Médecine
ISO 18664:2015,11.120.10 - Medicaments,,2015,ISO,actif,Santé & Médecine
ISO 11418-1:1996,11.120.99 - Other standards related to pharmaceutics,,1996,ISO,actif,Santé & Médecine
ISO 10282:1994,11.140 - Hospital equipment,,1994,ISO,actif,Santé & Médecine
ISO/R 168:1960,11.160 - First aid,,1960,ISO,actif,Santé & Médecine
ISO 7930:1986,11.180 - Aids for disabled or handicapped persons,,1986,ISO,actif,Santé & Médecine
ISO 6440:1985,11.180.10 - Aids and adaptation for moving,,1985,ISO,actif,Santé & Médecine
ISO 4074:2002,11.200 - Birth control. Mechanical contraceptives,,2002,ISO,actif,Santé & Médecine
ISO/IEC Guide 66:1999,13.020.10 - Environmental management,,1999,ISO/IEC,actif,Environnement & Développement durable
IWA 13:2014,13.020.20 - Environmental economics. Sustainability,,2014,ISO,actif,Environnement & Développement durable
IWA 16:2015,"13.020.40 - Pollution, pollution control and conservation",,2015,ISO,actif,Environnement & Développement durable
ISO 14020:1998,13.020.50 - Ecolabelling,,1998,ISO,actif,Environnement & Développement durable
ISO 14040:1997,13.020.60 - Product life-cycles,,1997,ISO,actif,Environnement & Développement durable
ISO 13065:2015,13.020.99 - Other standards related to environmental protection,,2015,ISO,actif,Environnement & Développement durable
ISO 11932:1996,13.030.10 - Solid wastes,,1996,ISO,actif,Environnement & Développement durable
IWA 28:2018,13.030.20 - Liquid wastes. Sludge,,2018,ISO,actif,Environnement & Développement durable
ISO 6849:1996,13.030.30 - Special wastes,,1996,ISO,actif,Environnement & Développement durable
ISO 4567:1978,13.030.40 - Installations and equipment for waste disposal and treatment,,1978,ISO,actif,Environnement & Développement durable
ISO 15270:2006,13.030.50 - Recycling,,2006,ISO,actif,Environnement & Développement durable
ISO 4225:1980,13.040.01 - Air quality in general,,1980,ISO,actif,Environnement & Développement durable
ISO 4219:1979,13.040.20 - Ambient atmospheres,,1979,ISO,actif,Environnement & Développement durable
ISO 8518:1990,13.040.30 - Workplace atmospheres,,1990,ISO,actif,Environnement & Développement durable
ISO 14644-1:1999,13.040.35 - Cleanrooms and associated controlled environments,,1999,ISO,actif,Environnement & Développement durable
ISO 7934:1989,13.040.40 - Stationary source emissions,,1989,ISO,actif,Environnement & Développement durable
ISO 789-4:1986,13.040.50 - Transport exhaust emissions,,1986,ISO,actif,Environnement & Développement durable
ISO 28902-1:2012,13.040.99 - Other standards related to air quality,,2012,ISO,actif,Environnement & Développement durable
ISO 6107-1:1986,13.060 - Water quality,,1986,ISO,actif,Environnement & Développement durable
ISO 5667-7:1993,13.060.25 - Water for industrial use,,1993,ISO,actif,Environnement & Développement durable
ISO 5667-10:1992,13.060.30 - Sewage water,,1992,ISO,actif,Environnement & Développement durable
ISO 11074:2005,13.080.01 - Soil quality and pedology in general,,2005,ISO,actif,Environnement & Développement durable
ISO 10381-1:2002,13.080.05 - Examination of soils in general,,2002,ISO,actif,Environnement & Développement durable
ISO 10382:2002,13.080.10 - Chemical characteristics of soils,,2002,ISO,actif,Environnement & Développement durable
ISO 11265:1994,13.080.20 - Physical properties of soils,,1994,ISO,actif,Environnement & Développement durable
ISO/TS 10832:2009,13.080.30 - Biological properties of soils,,2009,ISO,actif,Environnement & Développement durable
ISO 10573:1995,13.080.40 - Hydrological properties of soils,,1995,ISO,actif,Environnement & Développement durable
ISO 15176:2002,13.080.99 - Other standards related to soil quality,,2002,ISO,actif,Environnement & Développement durable
ISO 8528-12:1997,13.100 - Occupational safety. Industrial hygiene,,1997,ISO,actif,Environnement & Développement durable
ISO Guide 78:2008,13.110 - Safety of machinery,,2008,ISO,actif,Environnement & Développement durable
ISO 10377:2013,13.120 - Domestic safety,,2013,ISO,actif,Environnement & Développement durable
ISO 226:1987,13.140 - Noise with respect to human beings,,1987,ISO,actif,Environnement & Développement durable
ISO 2329:1983,13.160 - Vibration and shock with respect to human beings,,1983,ISO,actif,Environnement & Développement durable
ISO/IEC Guide 71:2014,13.180 - Ergonomics,,2014,ISO/IEC,actif,Environnement & Développement durable
IWA 5:2006,13.200 - Accident and disaster control,,2006,ISO,actif,Environnement & Développement durable
ISO/IEC Guide 52:1990,13.220.01 - Protection against fire in general,,1990,ISO/IEC,actif,Environnement & Développement durable
ISO 3500:1976,13.220.10 - Fire-fighting,,1976,ISO,actif,Environnement & Développement durable
ISO/R 1896:1971,13.220.20 - Fire protection,,1971,ISO,actif,Environnement & Développement durable
ISO 181:1981,13.220.40 - Ignitability and burning behaviour of materials and products,,1981,ISO,actif,Environnement & Développement durable
ISO 834:1975,13.220.50 - Fire-resistance of building materials and elements,,1975,ISO,actif,Environnement & Développement durable
ISO/TR 9122-1:1989,13.220.99 - Other standards related to protection against fire,,1989,ISO,actif,Environnement & Développement durable
ISO 6184-1:1985,13.230 - Explosion protection,,1985,ISO,actif,Environnement & Développement durable
ISO 4126:1981,13.240 - Protection against excessive pressure,,1981,ISO,actif,Environnement & Développement durable
ISO 13274:2013,13.300 - Protection against dangerous goods,,2013,ISO,actif,Environnement & Développement durable
ISO/TR 10476:1990,13.310 - Protection against crime,,1990,ISO,actif,Environnement & Développement durable
ISO 7731:1986,13.320 - Alarm and warning systems,,1986,ISO,actif,Environnement & Développement durable
ISO 18639-1:2018,13.340.01 - Protective equipment in general,,2018,ISO,actif,Environnement & Développement durable
ISO 2023:1973,13.340.10 - Protective clothing,,1973,ISO,actif,Environnement & Développement durable
ISO/R 1511:1970,13.340.20 - Head protective equipment,,1970,ISO,actif,Environnement & Développement durable
ISO 16900-1:2014,13.340.30 - Respiratory protective devices,,2014,ISO,actif,Environnement & Développement durable
ISO 2023:1994,13.340.50 - Leg and foot protection,,1994,ISO,actif,Environnement & Développement durable
ISO 10333-1:2000,13.340.60 - Protection against falling and slipping,,2000,ISO,actif,Environnement & Développement durable
ISO 12402-1:2005,"13.340.70 - Lifejackets, buoyancy aids and flotation devices",,2005,ISO,actif,Environnement & Développement durable
ISO 11810:2002,13.340.99 - Other protective equipment,,2002,ISO,actif,Environnement & Développement durable
ISO 3:1973,17.020 - Metrology and measurement in general,,1973,ISO,actif,Métrologie & Sciences
ISO 1:2002,17.040.01 - Linear and angular measurements in general,,2002,ISO,actif,Métrologie & Sciences
ISO 1:1975,17.040.10 - Limits and fits,,1975,ISO,actif,Métrologie & Sciences
ISO 468:1982,17.040.20 - Properties of surfaces,,1982,ISO,actif,Métrologie & Sciences
ISO 463:2006,17.040.30 - Measuring instruments,,2006,ISO,actif,Métrologie & Sciences
ISO/CD 10360-11,17.040.40 - Geometrical Product Specification (GPS),,,ISO,en cours,Métrologie & Sciences
ISO 384:1978,"17.060 - Measurement of volume, mass, density, viscosity",,1978,ISO,actif,Métrologie & Sciences
ISO 17713-1:2007,"17.080 - Measurement of time, velocity, acceleration, angular velocity",,2007,ISO,actif,Métrologie & Sciences
ISO/TR 7066-1:1997,17.120.01 - Measurement of fluid flow in general,,1997,ISO,actif,Métrologie & Sciences
ISO/R 541:1967,17.120.10 - Flow in closed conduits,,1967,ISO,actif,Métrologie & Sciences
ISO 555-1:1973,17.120.20 - Flow in open channels,,1973,ISO,actif,Métrologie & Sciences
ISO 16:1975,17.140.01 - Acoustic measurements and noise abatement in general,,1975,ISO,actif,Métrologie & Sciences
ISO 230-5:2000,17.140.20 - Noise emitted by machines and equipment,,2000,ISO,actif,Métrologie & Sciences
ISO 362:1981,17.140.30 - Noise emitted by means of transport,,1981,ISO,actif,Métrologie & Sciences
ISO 12124:2001,17.140.50 - Electroacoustics,,2001,ISO,actif,Métrologie & Sciences
ISO 2017:1982,"17.160 - Vibrations, shock and vibration measurements",,1982,ISO,actif,Métrologie & Sciences
ISO 7944:1984,17.180.01 - Optics and optical measurements in general,,1984,ISO,actif,Métrologie & Sciences
ISO 10526:2007,17.180.20 - Colours and measurement of light,,2007,ISO,actif,Métrologie & Sciences
ISO 8322-3:1989,17.180.30 - Optical measuring instruments,,1989,ISO,actif,Métrologie & Sciences
ISO 386:1977,17.200.20 - Temperature-measuring instruments,,1977,ISO,actif,Métrologie & Sciences
ISO 4037:1979,17.240 - Radiation measurements,,1979,ISO,actif,Métrologie & Sciences
ISO/TTA 2:1997,19.060 - Mechanical testing,,1997,ISO,actif,Métrologie & Sciences
IEC 61340-4-4:2005,19.080 - Electrical and electronic testing,,2005,IEC,actif,Métrologie & Sciences
ISO/TTA 3:2001,19.100 - Non-destructive testing,,2001,ISO,actif,Métrologie & Sciences
ISO 565:1983,19.120 - Particle size analysis. Sieving,,1983,ISO,actif,Métrologie & Sciences
ISO 3952-1:1981,"21.020 - Characteristics and design of machines, apparatus, equipment",,1981,ISO,actif,Industrie & Mécanique
ISO 68:1973,21.040.01 - Screw threads in general,,1973,ISO,actif,Industrie & Mécanique
ISO 68-1:1998,21.040.10 - Metric screw threads,,1998,ISO,actif,Industrie & Mécanique
ISO 68-2:1998,21.040.20 - Inch screw threads,,1998,ISO,actif,Industrie & Mécanique
ISO/DATA 7:1979,21.040.30 - Special screw threads,,1979,ISO,actif,Industrie & Mécanique
ISO 3800-1:1977,21.060 - Fasteners,,1977,ISO,actif,Industrie & Mécanique
ISO 21107:2004,21.100.01 - Bearings in general,,2004,ISO,actif,Industrie & Mécanique
ISO 2795:1979,21.100.10 - Plain bearings,,1979,ISO,actif,Industrie & Mécanique
ISO 15:1981,21.100.20 - Rolling bearings,,1981,ISO,actif,Industrie & Mécanique
ISO/R 232:1961,21.120.10 - Shafts,,1961,ISO,actif,Industrie & Mécanique
ISO 4863:1984,21.120.20 - Couplings,,1984,ISO,actif,Industrie & Mécanique
ISO 14:1982,"21.120.30 - Keys and keyways, splines",,1982,ISO,actif,Industrie & Mécanique
ISO 1925:1981,21.120.40 - Balancing and balancing machines,,1981,ISO,actif,Industrie & Mécanique
ISO 4708:1985,"21.140 - Seals, glands",,1985,ISO,actif,Industrie & Mécanique
ISO 2162:1973,21.160 - Springs,,1973,ISO,actif,Industrie & Mécanique
ISO 53:1974,21.200 - Gears,,1974,ISO,actif,Industrie & Mécanique
ISO 22:1975,21.220.10 - Belt drives and their components,,1975,ISO,actif,Industrie & Mécanique
ISO 487:1976,21.220.30 - Chain drives and their components,,1976,ISO,actif,Industrie & Mécanique
ISO 10816-6:1995,21.240 - Rotary-reciprocating mechanisms and their parts,,1995,ISO,actif,Industrie & Mécanique
ISO 11515:2013/Amd 1,23.020.30 - Pressure vessels,,2013,ISO,actif,Industrie & Mécanique
ISO/DATA 4:1978,23.020.35 - Gas cylinders,,1978,ISO,actif,Industrie & Mécanique
ISO 12991:2012,23.020.40 - Cryogenic vessels,,2012,ISO,actif,Industrie & Mécanique
ISO 6708:1980,23.040 - Pipeline components and pipelines,,1980,ISO,actif,Industrie & Mécanique
ISO 7483:1991,23.040.80 - Seals for pipe and hose assemblies,,1991,ISO,actif,Industrie & Mécanique
ISO 5208:1982,23.060.01 - Valves in general,,1982,ISO,actif,Industrie & Mécanique
ISO 12149:1999,23.060.10 - Globe valves,,1999,ISO,actif,Industrie & Mécanique
ISO 7121:1986,23.060.20 - Ball and plug valves,,1986,ISO,actif,Industrie & Mécanique
ISO 5996:1984,23.060.30 - Gate valves,,1984,ISO,actif,Industrie & Mécanique
ISO 10297:1999,23.060.40 - Pressure regulators,,1999,ISO,actif,Industrie & Mécanique
ISO 16137:2006,23.060.50 - Check valves,,2006,ISO,actif,Industrie & Mécanique
ISO 10631:1994,23.060.99 - Other valves,,1994,ISO,actif,Industrie & Mécanique
ISO 2548:1973,23.080 - Pumps,,1973,ISO,actif,Industrie & Mécanique
ISO 1219:1976,23.100.01 - Fluid power systems in general,,1976,ISO,actif,Industrie & Mécanique
ISO 3019-1:1975,23.100.10 - Pumps and motors,,1975,ISO,actif,Industrie & Mécanique
ISO 3320:1975,23.100.20 - Cylinders,,1975,ISO,actif,Industrie & Mécanique
ISO 1179:1981,23.100.40 - Piping and couplings,,1981,ISO,actif,Industrie & Mécanique
ISO 4401:1980,23.100.50 - Control components,,1980,ISO,actif,Industrie & Mécanique
ISO 2941:1974,"23.100.60 - Filters, seals and contamination of fluids",,1974,ISO,actif,Industrie & Mécanique
ISO 3722:1976,23.100.99 - Other fluid power system components,,1976,ISO,actif,Industrie & Mécanique
ISO/R 859:1968,23.120 - Ventilators. Fans. Air-conditioners,,1968,ISO,actif,Industrie & Mécanique
ISO 1217:1975,23.140 - Compressors and pneumatic machines,,1975,ISO,actif,Industrie & Mécanique
ISO 1607-1:1980,23.160 - Vacuum technology,,1980,ISO,actif,Industrie & Mécanique
ISO 17296-2:2015,25.030 - Additive manufacturing,,2015,ISO,actif,Industrie & Mécanique
ISO/IEC Guide 75:2006,25.040.01 - Industrial automation systems in general,,2006,ISO/IEC,actif,Industrie & Mécanique
ISO 9524:1993,25.040.10 - Machining centres,,1993,ISO,actif,Industrie & Mécanique
ISO 230-2:1988,25.040.20 - Numerically controlled machines,,1988,ISO,actif,Industrie & Mécanique
ISO 8373:1994,25.040.30 - Industrial robots. Manipulators,,1994,ISO,actif,Industrie & Mécanique
ISO/IEC Guide 77-1:2008,25.040.40 - Industrial process measurement and control,,2008,ISO/IEC,actif,Industrie & Mécanique
ISO 29262:2011,25.040.99 - Other industrial automation systems,,2011,ISO,actif,Industrie & Mécanique
ISO 2562:1973,25.060.10 - Modular units and other devices,,1973,ISO,actif,Industrie & Mécanique
ISO 238:1974,25.060.20 - Dividing and tool-workpiece holding devices,,1974,ISO,actif,Industrie & Mécanique
ISO 3408:1975,25.060.99 - Other machine tool systems,,1975,ISO,actif,Industrie & Mécanique
ISO 229:1973,25.080.01 - Machine tools in general,,1973,ISO,actif,Industrie & Mécanique
ISO 213:1982,25.080.10 - Lathes,,1982,ISO,actif,Industrie & Mécanique
ISO 1701:1974,25.080.20 - Boring and milling machines,,1974,ISO,actif,Industrie & Mécanique
ISO 6480:1983,25.080.30 - Broaching machines,,1983,ISO,actif,Industrie & Mécanique
ISO 2423:1982,25.080.40 - Drilling machines,,1982,ISO,actif,Industrie & Mécanique
ISO 666:1975,25.080.50 - Grinding and polishing machines,,1975,ISO,actif,Industrie & Mécanique
ISO 14137:2000,25.080.99 - Other machine tools,,2000,ISO,actif,Industrie & Mécanique
ISO 5611:1989,25.100 - Cutting tools,,1989,ISO,actif,Industrie & Mécanique
ISO 6752:1984,25.120.10 - Forging equipment. Presses. Shears,,1984,ISO,actif,Industrie & Mécanique
ISO 1651:1974,"25.120.20 - Rolling, extruding and drawing equipment",,1974,ISO,actif,Industrie & Mécanique
ISO 6751:1982,25.120.30 - Moulding equipment,,1982,ISO,actif,Industrie & Mécanique
ISO 11090-1:1998,25.120.40 - Electrochemical machines,,1998,ISO,actif,Industrie & Mécanique
ISO 1173:1988,25.140.01 - Hand-held tools in general,,1988,ISO,actif,Industrie & Mécanique
ISO 1180:1983,25.140.10 - Pneumatic tools,,1983,ISO,actif,Industrie & Mécanique
ISO 691:1983,25.140.30 - Hand-operated tools,,1983,ISO,actif,Industrie & Mécanique
ISO 857:1979,25.160.10 - Welding processes,,1979,ISO,actif,Industrie & Mécanique
ISO 544:1975,25.160.20 - Welding consumables,,1975,ISO,actif,Industrie & Mécanique
ISO 669:1981,25.160.30 - Welding equipment,,1981,ISO,actif,Industrie & Mécanique
ISO/R 598:1967,25.160.40 - Welded joints and welds,,1967,ISO,actif,Industrie & Mécanique
ISO 698:1975,25.160.50 - Brazing and soldering,,1975,ISO,actif,Industrie & Mécanique
ISO 13574:2015,25.180.01 - Industrial furnaces in general,,2015,ISO,actif,Industrie & Mécanique
ISO 1190-2:1982,25.200 - Heat treatment,,1982,ISO,actif,Industrie & Mécanique
ISO 2079:1981,25.220.01 - Surface treatment and coating in general,,1981,ISO,actif,Industrie & Mécanique
ISO 3861:1977,25.220.10 - Surface preparation,,1977,ISO,actif,Industrie & Mécanique
ISO 1463:1982,25.220.20 - Surface treatment,,1982,ISO,actif,Industrie & Mécanique
ISO 1456:1974,25.220.40 - Metallic coatings,,1974,ISO,actif,Industrie & Mécanique
ISO 2178:1982,25.220.50 - Enamels,,1982,ISO,actif,Industrie & Mécanique
ISO 14656:1999,25.220.99 - Other treatments and coatings,,1999,ISO,actif,Industrie & Mécanique
ISO 13600:1997,27.010 - Energy and heat transfer engineering in general,,1997,ISO,actif,Énergie & Ressources
ISO/IEC 13273-1:2015,27.015 - Energy efficiency. Energy conservation in general,,2015,ISO/IEC,actif,Énergie & Ressources
ISO 683-15:1976,27.020 - Internal combustion engines,,1976,ISO,actif,Énergie & Ressources
ISO 2314:1973,27.040 - Gas and steam turbines. Steam engines,,1973,ISO,actif,Énergie & Ressources
ISO 26:1977,27.060.10 - Liquid and solid fuel burners,,1977,ISO,actif,Énergie & Ressources
ISO 22967:2010,27.060.20 - Gas fuel burners,,2010,ISO,actif,Énergie & Ressources
ISO/R 831:1968,27.060.30 - Boilers and heat exchangers,,1968,ISO,actif,Énergie & Ressources
ISO/FDIS 19882,27.075 - Hydrogen technologies,,,ISO,en cours,Énergie & Ressources
ISO 5149-1:2014,27.080 - Heat pumps,,2014,ISO,actif,Énergie & Ressources
