code,nom,description,version,organisme,statut,secteur
"ISO/IEC JTC 1/SC 29","Codage du son, de l'image, de l'information multimédia et hypermédia","Standardization in the field of Efficient coding of digital representations of images, audio and moving pictures, including Conventional (natural, computer-generated and immersive) images, moving pictures and audio Invisible light and other sensory (such as medical and satellite) images Static and dynamic graphic objects Efficient coding of other digital information, including Multimedia, environment and user related metadata Sensor and actuator information related to audiovisual information ...",1991,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 31","Techniques automatiques d’identification et de saisie de données","Standardization of data formats, data syntax, data structures, data encoding, and technologies for the process of automatic identification and data capture and of associated devices utilized in inter-industry applications and international business interchanges and for mobile applications.",1996,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 32","Gestion et échange de données","Standards for data management within and among local and distributed information systems environments. SC 32 provides enabling technologies to promote harmonization of data management facilities across sector-specific areas. Specifically, SC 32 standards include: reference models and frameworks for the coordination of existing and emerging standards; definition of data domains, data types, and data structures, and their associated semantics; languages, services, and protocols for persistent s...",1997,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 34","Description des documents et langages de traitement","Standardization in the field of document structures, languages and related facilities for the description and processing of compound and hypermedia documents, including: languages for describing document logical structures and their support facilities languages for describing document-like objects in web environmentsfacilities document processing architecture and formatting for logical documentsfacilities languages for describing interactive documentsfacilities multilingual font information i...",1998,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 35","Interfaces utilisateur","Standardization in the field of user-system interfaces in information and communication technology (ICT) environments and support for these interfaces to serve all users, including people having accessibility or other specific needs, with a priority of meeting the JTC 1 requirements for cultural and linguistic adaptability. This includes: user interface accessibility (requirements, needs, methods, techniques and enablers); cultural and linguistic adaptability and accessibility (such as evalua...",1998,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 36","Technologies de l'information pour l'apprentissage, l'éducation et la formation","Standardization in the field of information technologies for learning, education, and training to support individuals, groups, or organizations, and to enable interoperability and reusability of resources and tool. Excluded from this scope are: standards or technical reports that define educational standards (competencies), cultural conventions, learning objectives, or specific learning content. work done by other ISO or IEC TCs, SCs, or WGs with respect to their component, specialty, or doma...",1999,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 37",Biométrie,"Standardization of generic biometric technologies pertaining to human beings to support interoperability and data interchange among applications and systems. Generic human biometric standards include: common file frameworks; biometric application programming interfaces; biometric data interchange formats; related biometric profiles; application of evaluation criteria to biometric technologies; methodologies for performance testing and reporting and cross jurisdictional and societal aspects. E...",2002,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 38","Plate-formes et services d'applications distribuées","Standardization in the areas of Cloud Computing and Distributed Platforms including: Foundational concepts and technologies, Operational issues, and Interactions among Cloud Computing systems and with other distributed systems SC 38 serves as the focus, proponent, and systems integration entity on Cloud Computing, Distributed Platforms, and the application of these technologies. SC 38 provides guidance to JTC 1, IEC, ISO and other entities developing standards in these areas.",2009,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 39","Impact environnemental des Technologies de l'information et des centres de données","Standardization of assessment methods, design practices, operation and management aspects to support resource efficiency, resilience and environmental sustainability for and by information technology, data centres and other facilities and infrastructure necessary for service provisioning. To avoid any duplication of work and to support innovation, SC 39 will engage in active liaison and collaboration with: other JTC1 entities; ISO TC 207, ISO TC 242, ISO TC 257; IEC TC 100, IEC TC 111, IEC PC...",2012,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 40","Gestion des services IT et gouvernance IT","Standardization in: Governance of IT Governance of data IT service management IT enabled services - business process outsourcing Serving as the focal point in these areas, SC 40 communicates, co-operates and collaborates with relevant committees (such as cybersecurity and privacy), external bodies and other stakeholders on topics of mutual interest.",2013,ISO/IEC,actif,"Services & Management"
"ISO/IEC JTC 1/SC 41","Internet des objets et jumeau numérique","ISO/IEC JTC 1/SC 41 is being supported administratively by IEC. All information related to ISO/IEC JTC 1/SC 41 is available on the IEC web site Standardization in the area of Internet of Things and related technologies. Serve as the focus and proponent for JTC 1's standardization programme on the Internet of Things and Digital Twin, including their related technologies. Provide guidance to JTC 1, IEC, ISO and other entities developing Internet of Things and Digital Twin related applications.",2017,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 42","Intelligence artificielle","Standardization in the area of Artificial Intelligence Serve as the focus and proponent for JTC 1's standardization program on Artificial Intelligence Provide guidance to JTC 1, IEC, and ISO committees developing Artificial Intelligenceapplications",2017,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 43","Interfaces cerveau-ordinateur","ISO/IEC JTC 1/SC 43 is being supported administratively by IEC. All information related to ISO/IEC JTC 1/SC 43 is available on the IEC web site Standardization in the area of Brain-computer Interfaces for information technology to enable communication and interaction between brain and computers that are applicable across application areas. Serve as the focus and proponent for JTC 1's standardization program on Brain-computer Interfaces, including the development of foundational standards; Pro...",2022,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 44","Protection des consommateurs dans le domaine de la protection de la vie privée dès la conception","Standardization of consumer protection in the field of privacy by design for products, goods and services, including their data lifecycles.",2025,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 4","Villes et communautés intelligentes et durables","Standardization in the field of smart and sustainable cities and communities, including the development of requirements, frameworks, guidance and supporting techniques and tools related to the achievement of sustainable development.The scope includes resilience and disaster risk reduction, sustainability and sustainable mobility and transport, community infrastructure, climate change mitigation and adaptation, digitalization, and ICT and system aspects only as it pertains to and helps all cit...",2025,ISO/IEC,actif,"Environnement & Développement durable"
"ISO/IEC JTC 5","Passeport numérique des produits","Standardization in the field of Digital Product Passport.Development of deliverables for the deployment of Digital Product Passports (DPP) ensuring cross sectoral and cross system interoperability enabling the supply chain information flow. This includes the framework of the DPP System and the DPP Ecosystem as well as the basics for both.The new JTC does not develop sector specific standards and standards to be used for DPP-system or DPP-data which are already covered by the scope of other IS...",2026,ISO/IEC,actif,"Informatique & Technologies"
"ISO/PC 335","Lignes directrices destinées aux organismes pour accroître la compréhension par les clients des conditions générales en ligne","Specification of guidance to the providers of goods, services and digital content on the clear design and presentation of online terms and conditions to maximise consumer understanding and reduce detriment.",2021,ISO,actif,"Services & Management"
"ISO/PC 343","Système de gestion pour les objectifs en matière de développement durable des Nations Unies - Exigences pour tout organisme","Standardization to support the UN Sustainable Development Goals.",2023,ISO,actif,"Énergie & Ressources"
"ISO/TC 2/SC 7","Normes de référence","Standardization of reference standards which serve asgeneral basis for fastener standards, such as: terminology, vocabulary and symbols general dimensions and tolerances (clearance holes,widths across flats, underhead radii, lenghts, etc.) control, inspection, delivery, acceptance, qualityand quality management designation, standard templates.",1983,ISO,actif,"Industrie & Mécanique"
"ISO/TC 4/SC 13","Essais, mesurage et évaluation","Standardization of test, measurement and evaluation methods for dimensional, geometrical and functional characteristics of rolling bearings. Excluded:Field performance evaluation and validation of bearing performance e.g. load ratings,as it falls within the scope of ISO/TC 4/SC 8”",2024,ISO,actif,"Industrie & Mécanique"
"ISO/TC 6/SC 2","Méthodes d'essais et spécifications de qualité des papiers et cartons",,1984,ISO,actif,"Industrie & Mécanique"
"ISO/TC 6/SC 7","Sécurité des machines et des processus dans les industries des pâtes et des papiers",,2026,ISO,actif,"Industrie & Mécanique"
"ISO/TC 8","Navires et technologie maritime","Standardization of design, construction, training, structural elements, outfitting parts, equipment, methods and technology, and marine environmental matters, used in shipbuilding, comprising sea-going ships, vessels for inland navigation, offshore structures, ship-to-shore interface, the operation of ships, marine structures subject to IMO requirements, and the observation and exploration of the sea. Excluded: electrical and electronic equipment on board ships and marine structures (IEC / TC...",1947,ISO,actif,Maritime
"ISO/TC 8/SC 1","Sécurité maritime","Standardization of marine lifesaving and fire protection design, construction, equipment, materials, and technology used in shipbuilding and the operation of ships in support of requirements developed by the International Maritime Organization and the needs of the world maritime industry.",1995,ISO,actif,Maritime
"ISO/TC 8/SC 2","Protection de l'environnement marin","Standardization of marine pollution abatement materials, equipment and technologies and environmental matters to be used in shipbuilding and operation of ships, comprising sea-going ships, vessels for inland navigation, offshore structures, ship-to-shore interface and all other marine structures subject to International Maritime Organization (IMO) requirements.",1995,ISO,actif,"Environnement & Développement durable"
"ISO/TC 8/SC 3","Tuyauteries et machines","Standardization of design, construction, equipment and technology for piping and machinery used in shipbuilding and the operation of ships, comprising sea-going ships, fishing vessels and trawlers, vessels for inland navigation, offshore structures, ship-to-shore interfaces, and all other marine structures subject to IMO requirements",1995,ISO,actif,"Industrie & Mécanique"
"ISO/TC 8/SC 4","Équipement et auxiliaires de pont","Standardization of design, construction and operation of equipment and technology for ship outfitting and deck machinery, including ship-to-shore interface, cargo systems and lifting gear etc. used in shipbuilding and the operation of ships in support of the requirements developed by the International Maritime Organization (IMO) and the needs of the world maritime industry.",1995,ISO,actif,"Industrie & Mécanique"
"ISO/TC 8/SC 8","Conception maritime","Standardization of design and construction for ships and maritime installations for definition of interfaces and creation of interchangeability as well as for determination of safety requirements and ship performance.",1984,ISO,actif,Maritime
"ISO/TC 8/SC 11","Transport intermodal et transport maritime à courte distance","Standardization of general issues, principal requirements, design elements, construction and operation of ships technology for intermodal, including ship/port interface and other modes of transportation, and short sea shipping.",1983,ISO,actif,Maritime
"ISO/TC 8/SC 12","Navires et technologie maritime - Grands yachts","Standardization of design, construction, structural elements, outfitting parts, equipment, methods and technology, and marine environmental matters, used in large yacht building and in the operation of large yachts, comprising super-yachts, mega-yachts and large yachts used in commercial, charter and pleasure use.Focus should be on unique requirements for large yachts as defined and should not duplicate existing standards. Excluded: Small recreational craft less than 24 meters, which are with...",2006,ISO,actif,Maritime
"ISO/TC 8/SC 13","Technologie maritime","Standardisation of test methods, operation, design, construction and logistics of equipment, systems, infrastructure and technology used for observation, exploitation and protection of the ocean and sea areas.",2014,ISO,actif,Maritime
"ISO/TC 8/SC 25","Réduction des émissions de gaz à effet de serre dans le secteur maritime","Standardization of ship GHG assessment and documentation procedures; bunkering and/orcharging operations associated, and on-dock power generation. Note1: TC8 SC25 serves as a focal point within TC8 regarding the reduction of GHG from maritime shipping and works in cooperation with existing subcommittees to help provide guidance to the maritime industry and regulators regarding applicable ISO standards developed by TC8 and other TCs",2024,ISO,actif,"Énergie & Ressources"
"ISO/TC 8/SC 26","Transport maritime intelligent","Standardization in the field of emerging and advanced information and communication technologies, (e.g. big data and processing, IoT, onboard sensors, artificial intelligence) in shipbuilding and maritime intelligent transportation system.",2024,ISO,actif,Maritime
"ISO/TC 8/SC 27","Ports et terminaux","Standardization in the field of ports and terminals, covering planning, implementation, operation, upgrading, demolition and repurposing stages. It will include scheduling, design, controlling, monitoring and inspection, optimization of resource allocating, integrated state-of-the-art technology solutions, regardless of scales, types, or transitioning of goods or passengers, whether located on the coastline or inland rivers, aiming to improve efficiency, effectiveness, coordination, working c...",2025,ISO,actif,Maritime
"ISO/TC 10","Documentation technique de produits","Standardization and coordination of technical product documentation (TPD), including computer-generated 2D or 3D, and manually-created 2D or 3D, throughout the product life cycle from concept to end of life, to facilitate preparation, management, storage, retrieval, reproduction, exchange and use.",1947,ISO,actif,"Services & Management"
"ISO/TC 10/SC 1","Conventions générales","Standardization of basic conventions for representation and data management of technical product documentation.",1983,ISO,actif,"Industrie & Mécanique"
"ISO/TC 10/SC 6","Documentation sur l'ingénierie mécanique","Standardization of specific conventions for representation of technical product documentation in the field of mechanical engineering.",1981,ISO,actif,"Industrie & Mécanique"
"ISO/TC 10/SC 8","Documentation de construction","Standardization of specific conventions for representation and data management of technical product definition in the field of architecture, structural engineering, building services engineering, civil engineering, landscaping, regional planning and town planning.",1982,ISO,actif,"Construction & BTP"
"ISO/TC 10/SC 10","Documentation pour les usines de traitement","Standardisation of specific rules for: a) process plant documentation b) application of simplified representation c) application of structuring principles and reference designation. Standardization of graphical symbols used in process plant documentation is coordinated with IEC, including establishing and maintaining a database, from which any technical committee may prepare collective symbol standards.",1990,ISO,actif,"Industrie & Mécanique"
"ISO/TC 11","Chaudières et récipients sous pression","Standardization of construction and performance of boilers and pressure vessels. Excluded: railway and marine boilers covered by ISO/TC 8; gas cylinders covered by ISO/TC 58; aircraft and vehicle components covered by ISO/TC 20; equipment used for fire-fighting covered by ISO/TC 21; personal safety equipment covered by ISO/TC 94; components of rotating or reciprocating devices; nuclear pressure equipment covered by ISO/TC 85; piping systems covered by ISO/TC 67; cryogenic vessels covered by I...",1947,ISO,actif,"Industrie & Mécanique"
"ISO/TC 17",Acier,"Standardization in the field of cast, wrought and cold-formed steel, including technical delivery conditions for steel tubes for pressure purposes, environment related to climate change and emerging technologies application in the iron and steel industry. Excluded: steel tubes within the scope of ISO / TC 5; line pipe, casing, tubing and drill pipe within the scope of ISO / TC 67; methods of mechanical testing of metals within the scope of ISO / TC 164.",1947,ISO,actif,"Industrie & Mécanique"
"ISO/TC 17/SC 3","Aciers de construction","Standardization of uncoated steels for structural purposes (for bridges, building, etc.) and for general engineering purposes (steels not intended for heat treatment by the consumer), in terms of: qualities dimensions and tolerances for plates, wide flats, bars and sections excluding: flat rolled products manufactured on a continuous mill steel for the reinforcement of concrete and prestressing steels wire and wire rods structural hollow sections.",1980,ISO,actif,"Industrie & Mécanique"
"ISO/TC 17/SC 19","Conditions techniques de livraison des tubes d'acier pour appareils à pression","Maintenance of existing ISO Standards and preparation of new ISO Standards for technical delivery conditions for steel tubes for pressure purposes, in liaison with ISO/TC 5 and ISO/TC 11. Excluded from this area of work are all other standards for tubes whatever their use and particularly the standards related to ISO/TC 67 and the standards on tubes for transportation of water, gas and sewage.",1981,ISO,actif,"Industrie & Mécanique"
"ISO/TC 17/SC 21","Environnement lié au changement climatique dans l'industrie du fer et de l'acier","Standardization in the field of environment related to climate change such as low carbon process in the iron and steel industry.",2023,ISO,actif,"Environnement & Développement durable"
"ISO/TC 17/SC 22","Aciers inoxydables et résistants à la chaleur","Standardization of qualities, dimensions and tolerances of stainless and heat-resistant steelsmainly used in the engineering industry e.g.: construction, chemical and automotive industries.These steels are for general engineering purposes but include also their special applications inform of bright, spring and valve steels. Excluded; standardization of applications pressure purposes e.g.: plates and tubes (ISO/TC 17/SC 10 and ISO/TC 17/SC 19) concrete reinforcement (ISO/TC 17/SC 16) hollow se...",2026,ISO,actif,"Industrie & Mécanique"
"ISO/TC 20","Aéronautique et espace","Standardization of materials, components and equipment for construction and operation of aircraft and space vehicles as well as equipment used in the servicing and maintenance of these vehicles.",1947,ISO,actif,"Aéronautique & Espace"
"ISO/TC 20/SC 9","Chargement et équipement au sol","Develop and publish International Standards, Technical Reports or Publicly Available Specifications, as appropriate, in the fields of: Air cargo appliances designed and used to be flown aboard civil transport aircraft, including unit load devices and on board cargo systems; Ground servicing of aircraft, including towing, catering, de-icing and air conditioning; Ground handling of passengers, baggage, and cargo on airport ramps.",1981,ISO,actif,"Industrie & Mécanique"
"ISO/TC 20/SC 13","Systèmes de transfert des informations et données spatiales",,1990,ISO,actif,"Informatique & Technologies"
"ISO/TC 20/SC 14","Systèmes spatiaux, développement et mise en oeuvre","Standardization of crewed and uncrewed space systems that include management of space programmes, design, production, verification, launch, operations, maintenance, and disposal of space systems, end user applications and services, and for the environment in which the space programmes operate.",1992,ISO,actif,"Aéronautique & Espace"
"ISO/TC 20/SC 16","Aéronefs sans pilote","Standardization in the field of advanced air mobility and uncrewed aircraft systems (UAS), including but not limited to classification, design, manufacture, operation (including maintenance), and safety management.",2014,ISO,actif,"Aéronautique & Espace"
"ISO/TC 20/SC 17","Infrastructure aéroportuaire","Standardization in the field of airside airport infrastructure, to include grooving of landing and take-off lanes; asphaltic-ecologic-paving; vertical-signaling with painting and electric-electronic boards (painted and lighted signage). Scope excludes spaceports, which will be handled under ISO/TC 20/SC 14 and ground handling equipment (including fixed equipment such as passenger boarding bridges, docking guidance systems, etc.) which is under ISO/TC 20/SC 9. The scope also excludes air traff...",2014,ISO,actif,Maritime
"ISO/TC 21","Équipement de protection et de lutte contre l'incendie","Standardization in the field of all fire protection and fire fighting apparatus and equipment including extinguishing media as well as the personal equipment of the fire fighter, and related work on terminology, classification and symbols. Approval of advisory documents relating to the general principles and application of equipment and apparatus for fire protection and fire fighting. Excluded: protective clothing dealt with by ISO / TC 94.",1947,ISO,actif,"Industrie & Mécanique"
"ISO/TC 21/SC 2","Extincteurs mobiles","Standardization in the field of manually transportable fire extinguishers covering design, manufacture, performance and maintenance of fire extinguishers including handheld units up to 20 Kg and wheeled units up to 450 kg. SC 2 is also responsible for standardization for classes of fire.",1981,ISO,actif,"Sécurité & Protection"
"ISO/TC 21/SC 3","Systèmes de détection d'incendie et d'alarme","Standardization in the field of fire detection and alarm systems, including equipment standards covering fire detection devices and audio/visual warning devices to provide emergency signaling to building occupants in the event of a fire emergency, as well as installation and servicing of fire detection and alarm systems",1980,ISO,actif,"Sécurité & Protection"
"ISO/TC 21/SC 8","Matériel à gaz et systèmes fixes de lutte contre l'incendie à gaz","Standardization in the field of gaseous fire extinguishing and inerting systems,aerosol fire extinguishing systems, and reduced oxygen fire prevention systems.This includes standardization covering the safety, specification and testing ofcomponents and systems; safety and testing of gaseous and aerosol media; andsafety, design, installation, commissioning, inspection, servicing, testing andmaintenance of these systems.",1996,ISO,actif,"Sécurité & Protection"
"ISO/TC 21/SC 11","Systèmes de contrôle de fumée et de chaleur et leurs composants","Standardization in the field of fixed fire fighting systems using products for smoke control, i.e, smoke barriers, natural smoke and heat exhaust ventilators, powered ventilators, pressure differential systems, smoke control dampers, smoke duct sections, control equipment and power supply. Moreover ISO/TC 21/SC 11 isresponsible for standardization in the field of the design and maintenance of smoke control systems for installation in buildings or other construction works.",2002,ISO,actif,"Sécurité & Protection"
"ISO/TC 22","Véhicules routiers","Standardization of all aspects for all types of road vehicles and their interfaces approved for operation on public roads for the whole life cycle concerning safety, security, sustainability, compatibility, interchangeability, maintenance, evaluation of performance and quality. It also includes, but is not limited to, these vehicle related aspects: hardware and software; driving automation; communication and connected driving; test equipment and tools;",1947,ISO,actif,"Automobile & Transports"
"ISO/TC 22/SC 31","Communication de données","Standardization of implementation-independent data communication, data formats, logical interfaces, test sequence languages and related test plans (for conformity and interoperability) for road vehicles and vehicle sets, this includes: Data communication use cases consisting of in-vehicle networking and extended vehicle Extended vehicle methodology Open Systems Interconnect (OSI) layer services and protocols Diagnostic communication services Extended vehicle communication interfaces (wired or...",2014,ISO,actif,"Informatique & Technologies"
"ISO/TC 22/SC 32","Équipements électriques et électroniques et les aspects généraux des systèmes","Electrical and electronic (E/E) components and cross-sectional specifications for E/E systems and components This includes: Wiring harness (e.g cables, connectors, interconnections) Dedicated connectors (e.g trailer connectors, OBD-connector) Dedicated E/E components and parts (e.g. alternators, fuses, ignition equipment) EMC Environmental conditions Functional safety Cybersecurity Dedicated optical components Software update",2014,ISO,actif,"Informatique & Technologies"
"ISO/TC 22/SC 34","Propulsion, groupe motopropulseur et fluides associés","Systems and components for combustion based propulsion (such as; coolant, engines, filters, piston pins/rings, powertrain, testing methods, testing procedures, measurement testing apparatus, fuel injection equipment, as well as characteristics and additive fluids definitions (e.g. (AUS32), except lubricants, brake fluids, and fuels.",2014,ISO,actif,"Automobile & Transports"
"ISO/TC 22/SC 35","Éclairage et visibilité","Visibility and Conspicuity; Lighting and light-signalling and safety glazing materials.",2014,ISO,actif,"Automobile & Transports"
"ISO/TC 22/SC 36","Sécurité et essais de collision","Protection of occupants and vulnerable road users, including Passive safety assessment (including vehicle safety preconditioning) : Functional analysis Evaluation of devices and systems Virtual testing Accident analysis Post crash safety",2014,ISO,actif,"Sécurité & Protection"
"ISO/TC 22/SC 37","Véhicules à propulsion électrique","Specific aspects of electrically propelled road vehicles, trailers using voltage class B, electric propulsion systems, related components, body builder equipment and their vehicle integration.",2014,ISO,actif,"Automobile & Transports"
"ISO/TC 22/SC 38","Motocycles et cyclomoteurs","Standardization of motorcycles, mopeds and their components, concerning compatibility, interchangeability, safety, terminology and test procedures (including the characteristics of instrumentation), in order to evaluate their performances. Motorcycles and mopeds are to be intended as defined in the relevant definition of ISO 3833.",2014,ISO,actif,"Automobile & Transports"
"ISO/TC 22/SC 39",Ergonomie,"Driver interaction with driver environment and driver systems",2014,ISO,actif,"Sécurité & Protection"
"ISO/TC 22/SC 40","Aspects spécifiques aux voitures particulières, aux véhicules utilitaires, et aux poids lourds, aux véhicules spéciaux, aux autobus et aux remorques/caravanes","Specific aspects for passenger cars, heavy duty trucks, commercial vehicles, special vehicles (e.g. ambulance, motor caravan), buses, trailers/caravans, as well as their bodyworks and interfaces (e.g. couplings) which are not covered by other SCs of TC 22. Excluded: Special vehicle 'concrete truck mixer' and 'truck-mounted concrete boom pump' covered by ISO/TC 195/SC 1 'Machinery and equipment for concrete work' Special vehicle 'sweeper vehicle', 'cleaning vehicle', 'combined jetting and suct...",2014,ISO,actif,"Automobile & Transports"
"ISO/TC 22/SC 41","Aspects spécifiques des combustibles gazeux","Specifications of construction, installation and test of components for vehicles using gaseous fuels, including their assemblies and the interface with refuelling systems",2014,ISO,actif,"Énergie & Ressources"
"ISO/TC 23/SC 3","Sécurité et confort","Standardisation of safety, comfort, as well as ergonomic aspects, concerning the operation of tractors and agricultural machinery. According to the Resolution C235:2001 of ISO/TC 23 : 1. SC 3 is responsible for the elaboration of general (horizontal) standards related to safety, comfort and ergonomics of agricultural tractors and machinery; 2. the relevant specific (vertical/product) SCs are responsible for the elaboration of the specific safety standards for the machines falling in their sco...",1983,ISO,actif,"Sécurité & Protection"
"ISO/TC 23/SC 4",Tracteurs,"Standardization of agricultural tractors, trailers and loaders including terminology, ergonomics, safety and environmental aspects of tractors as well as subsystems of the tractor and its application to implements and other attachments.",1983,ISO,actif,"Agriculture & Foresterie"
"ISO/TC 23/SC 7","Matériel de récolte et de conservation","Standardization of equipment for harvesting, treatment, conservation and storage of agricultural crops within the farm, including component dimensions and/or the test procedures for the measurement of performance, rating and other characteristics .",1984,ISO,actif,"Agriculture & Foresterie"
"ISO/TC 23/SC 14","Commandes, symboles ou autres indications et manuels d'utilisation pour les opérateurs","Standardization of symbols for controls and displays, safety signs, and manuals for tractors, machinery for agriculture and forestry, and powered lawn and garden equipment.",1983,ISO,actif,"Services & Management"
"ISO/TC 23/SC 15","Matériels forestiers","Standardization of forestry machinery including terminology, safety, related tests methods and ergonomic aspects. Excluded manually portable forestry machinery dealt by ISO/TC 23/SC 17.",1983,ISO,actif,"Agriculture & Foresterie"
"ISO/TC 23/SC 19","Électronique en agriculture","Standardization of electrics and electronics for tractors, machines, systems, implements and their equipment used in agriculture and forestry, gardening, landscaping, irrigation and other related areas in which such equipment is used, including electronic identification of all categories of animals. This can also include data management, machine to machine, machine to cloud and related technologies and interfaces. Note: SC 19 is a horizontal subcommittee.",1990,ISO,actif,"Informatique & Technologies"
"ISO/TC 27/SC 3",Coke,"Standardization including analysis and testing to assist in the comparison and discussion of data relating to coke, its utilization and classification by size and type.",1983,ISO,actif,"Industrie & Mécanique"
"ISO/TC 27/SC 4",Échantillonnage,"Standardization including nomenclature, methods of sampling and sample preparation to assist in determination of the quality of coal and coke.",1981,ISO,actif,"Métrologie & Sciences"
"ISO/TC 28","Produits pétroliers et produits connexes, combustibles et lubrifiants d’origine synthétique ou biologique","Standardization of terminology, classification, specifications, methods of sampling,measurement, analysis and testing for: Crude petroleum; Petroleum-based liquid and liquefied fuels; Non-petroleum based liquid and liquefied fuels from natural or synthetic sources; Gaseous fuels for transport applications; Measurement of gaseous fuels liquefied by refrigeration or compression; Petroleum based lubricants and fluids (including hydraulic fluids and greases); Non-petroleum based lubricants and fl...",1947,ISO,actif,"Énergie & Ressources"
"ISO/TC 28/SC 2","Mesurage du pétrole et des produits connexes","Standardization of methods and reporting requirements for metering and sampling to determine volume or mass measurements, in static or dynamic conditions. These standards include the design and calibration of instrumentation, systems and tanks with associated calculations to normalised or other conditions of: crude petroleum; petroleum-based liquid and liquefied fuels; non petroleum based liquid and liquefied fuels from natural or synthetic sources; petroleum based lubricants and fluids (incl...",1980,ISO,actif,"Énergie & Ressources"
